trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,0,2019-08-01,0.2795057317666664,-0.0029669197764375112,0.4472713997113997,0.78832
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,1,2019-08-14,0.2534165436632425,0.024142685498916787,0.41971610210481947,0.7755441741357235
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,2,2019-08-27,0.28440217543589097,0.00684976859085811,0.4483504588423499,0.7638565891472868
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,3,2019-09-09,0.27128325241707707,0.0008357645365536248,0.42617286080724087,0.7563909774436091
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,4,2019-09-20,0.28299471993928993,-0.035616615700922546,0.4521714624379712,0.7817065287653523
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,5,2019-10-03,0.31710277705320244,-0.10318241072947776,0.4779259307050663,0.7713589604764484
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,6,2019-10-16,0.3381281461935764,-0.08894711203518335,0.496098507121587,0.7803874092009685
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,7,2019-10-29,0.3347711895385232,-0.08016644905959572,0.48467364826193765,0.7665291150848235
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,8,2019-11-11,0.3506501360379756,-0.07281262420106528,0.4967091761900081,0.7814666666666666
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,9,2019-11-22,0.35605693691061363,-0.08342979526534355,0.5113294207551177,0.796027935399389
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,10,2019-12-05,0.3504063653477635,-0.08093736897118152,0.5043331528364511,0.7760998307952622
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,11,2019-12-18,0.3670134563007732,-0.06814913420273959,0.5172461403264048,0.7745186399016797
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,12,2020-01-01,0.3567710532335568,-0.07408671135448736,0.5022926695821079,0.7780722891566265
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,13,2020-01-14,0.36497025551366846,-0.07369129538522266,0.5144071983876974,0.7772360999194199
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,14,2020-01-27,0.3549449475186508,-0.07718373788475262,0.50583509865738,0.7685334407735697
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,15,2020-02-07,0.37774677820151187,-0.07615880947270535,0.5330571465545503,0.7862990810359232
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,16,2020-02-20,0.3755872064714565,-0.07820404605575355,0.5242942612496291,0.7881268752678955
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,17,2020-03-04,0.3852687780164759,-0.04309697434234189,0.536275404753028,0.7729011194029851
