trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,0,2019-08-01,0.2619133556598196,-0.0017272967816869727,0.4340967965367965,0.80064
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,1,2019-08-14,0.25961659638230006,0.02489263477785726,0.4214336428051876,0.7813060179257363
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,2,2019-08-27,0.2722280574712517,0.008580536863342644,0.43230807821536094,0.7877906976744186
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,3,2019-09-09,0.27671638143273486,0.0023043906492922544,0.4418701091172711,0.764578111946533
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,4,2019-09-20,0.2948163526643497,-0.03336637355725159,0.45513061674272964,0.7901098901098901
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,5,2019-10-03,0.32750256636173425,-0.10168980724567935,0.489140422919667,0.7838657282079047
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,6,2019-10-16,0.33421306982724736,-0.08863579949149088,0.4984616665736195,0.7822760290556902
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,7,2019-10-29,0.33940811909450475,-0.08149877800690626,0.4948346663843154,0.7718019257221458
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,8,2019-11-11,0.3419799364672355,-0.06959059965228968,0.4825557193202656,0.7851555555555556
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,9,2019-11-22,0.3654326547470133,-0.08439884076072188,0.4997533339657337,0.8010475774770842
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,10,2019-12-05,0.3732122596950136,-0.0819055185990743,0.5067419678635544,0.7834602368866329
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,11,2019-12-18,0.3742602387239181,-0.06986597025717842,0.5238516811212903,0.7858254813600983
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,12,2020-01-01,0.367907713671307,-0.07348800045649392,0.5058525738239862,0.7861847389558233
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,13,2020-01-14,0.37544035007505605,-0.07424749312781667,0.516109475386362,0.7728444802578566
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,14,2020-01-27,0.3656855357333982,-0.07740911710247611,0.5112911956689402,0.7736905721192586
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,15,2020-02-07,0.3770612226321961,-0.0746969532079479,0.5263762677326347,0.7904344193817878
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,16,2020-02-20,0.39585728696703115,-0.08210737056055416,0.5484190529440138,0.7958422631804544
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,17,2020-03-04,0.40083050159136785,-0.04422505263576348,0.5613209513679431,0.7821361940298508
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,18,2020-03-17,0.39982335913781364,0.045247258427451365,0.5720110474135723,0.7808709175738725
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,19,2020-03-30,0.37812827713251207,0.018198873501067185,0.5486607285088475,0.7747486033519553
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,20,2020-04-10,0.3712046763849887,0.00962843199246999,0.544108596624353,0.7674404761904762
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,21,2020-04-23,0.36426813559212706,0.0013049861357795733,0.5393388410499252,0.7750454270139309
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,22,2020-05-06,0.364775923353547,0.008204837341530491,0.5511450671036087,0.7692737430167598
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,23,2020-05-19,0.3583999621413678,-0.011196598608969512,0.5523912005715803,0.7567088607594936
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,24,2020-06-01,0.35925021449267713,-0.0018731367535381137,0.5481218773901702,0.7563612392880686
