number_of_estimators,max_depth,random_state,prediction_horizon_months,average_ndcg,average_roi,average_recall,average_profile_coherence,average_profile_coherence_lift
20,15,42,6,0.020912344311296387,0.00975224707912966,0.0400464951309516,0.661447354143654,1.0497485369268016
20,25,42,6,0.019201051462206846,0.011015005732510115,0.03586540781167602,0.6639940520495495,1.0552367219748566
20,50,42,6,0.019082918241182592,0.010001956053535157,0.036452979502861534,0.659012781164355,1.0463654256450434
30,15,42,6,0.021144771993647265,0.012365228217691416,0.04131447769941542,0.6642026475111998,1.0527514665227884
30,25,42,6,0.019948586669313637,0.011234608777354665,0.03630074633463981,0.6651747170542442,1.0560191864678306
30,50,42,6,0.01969552790331258,0.013041003582826269,0.03734846197650494,0.6628663438601492,1.0525878492538019
40,15,42,6,0.021436080057604015,0.009974612058994074,0.04240197287417147,0.665560831548194,1.05517488126616
40,25,42,6,0.020649091284637894,0.012751462600439922,0.03819922821988314,0.6660310075340529,1.0593968407318488
40,50,42,6,0.018978912648527975,0.014222600453448456,0.03570006960411624,0.6667081748071968,1.0598056077166547
50,15,42,6,0.020707379305123397,0.009958609116414878,0.03930682517612611,0.6638015989539096,1.055374524516503
50,25,42,6,0.019938251312351597,0.01155849839106732,0.03874931953583496,0.6702760038746044,1.0659655731794553
50,50,42,6,0.01941027780188271,0.012638874383200022,0.03650882187574112,0.6682462343402764,1.062268109585018
